date,tenor_d,atm,rr25,rr10,bf25,spot,dvol
2026-06-10,7,0.504614,-0.117297,-0.227052,0.017896,61002.60,48.35
2026-06-10,30,0.457019,-0.098277,-0.194038,0.014110,61002.60,48.35
2026-06-10,60,0.444546,-0.082365,-0.165816,0.013014,61002.60,48.35
2026-06-10,90,0.437424,-0.070999,-0.151788,0.012854,61002.60,48.35
2026-06-10,180,0.440336,-0.054685,-0.123308,0.015279,61002.60,48.35
2026-06-11,7,0.452907,-0.071271,-0.135488,0.012264,62673.77,46.21
2026-06-11,30,0.434613,-0.079549,-0.157364,0.012176,62673.77,46.21
2026-06-11,60,0.429330,-0.076683,-0.154344,0.012117,62673.77,46.21
2026-06-11,90,0.427349,-0.067038,-0.139707,0.013322,62673.77,46.21
2026-06-11,180,0.435328,-0.051105,-0.117499,0.015086,62673.77,46.21
2026-06-12,7,0.408462,-0.047487,-0.098554,0.010719,63607.64,43.52
2026-06-12,30,0.406499,-0.059192,-0.117412,0.011163,63607.64,43.52
2026-06-12,60,0.407440,-0.061094,-0.128564,0.011389,63607.64,43.52
2026-06-12,90,0.411381,-0.056343,-0.123671,0.011361,63607.64,43.52
2026-06-12,180,0.427800,-0.045210,-0.108899,0.013303,63607.64,43.52
2026-06-13,7,0.370484,-0.036852,-0.083206,0.003624,63604.70,40.52
2026-06-13,30,0.386074,-0.053864,-0.111647,0.010107,63604.70,40.52
2026-06-13,60,0.393550,-0.054626,-0.119614,0.010497,63604.70,40.52
2026-06-13,90,0.396735,-0.052408,-0.116090,0.011498,63604.70,40.52
2026-06-13,180,0.419565,-0.043376,-0.105364,0.013575,63604.70,40.52
2026-06-14,7,0.396156,-0.049781,-0.103263,0.005873,64349.12,40.63
2026-06-14,30,0.386726,-0.055454,-0.116911,0.007375,64349.12,40.63
2026-06-14,60,0.389412,-0.055855,-0.116458,0.010294,64349.12,40.63
2026-06-14,90,0.393541,-0.052429,-0.114160,0.011977,64349.12,40.63
2026-06-14,180,0.417549,-0.043514,-0.106382,0.014060,64349.12,40.63
2026-06-15,7,0.375707,-0.053031,-0.114997,0.006493,65782.03,40.04
2026-06-15,30,0.378124,-0.057853,-0.122118,0.009290,65782.03,40.04
2026-06-15,60,0.384273,-0.058047,-0.126731,0.010301,65782.03,40.04
2026-06-15,90,0.390300,-0.056004,-0.127541,0.011894,65782.03,40.04
2026-06-15,180,0.413540,-0.046868,-0.110469,0.015788,65782.03,40.04
2026-06-16,7,0.356095,-0.042460,-0.097376,0.007784,66041.13,38.52
2026-06-16,30,0.362654,-0.053576,-0.107469,0.007574,66041.13,38.52
2026-06-16,60,0.371957,-0.054395,-0.112047,0.009146,66041.13,38.52
2026-06-16,90,0.379900,-0.053037,-0.114926,0.010782,66041.13,38.52
2026-06-16,180,0.409115,-0.043752,-0.105977,0.014758,66041.13,38.52
2026-06-17,7,0.346897,-0.044014,-0.097998,0.008508,65740.79,37.42
2026-06-17,30,0.351128,-0.050676,-0.108054,0.008200,65740.79,37.42
2026-06-17,60,0.361826,-0.049817,-0.105459,0.010099,65740.79,37.42
2026-06-17,90,0.372418,-0.048891,-0.104875,0.011661,65740.79,37.42
2026-06-17,180,0.403969,-0.042298,-0.100419,0.015507,65740.79,37.42
2026-06-18,7,0.373963,-0.066119,-0.142606,0.011982,63783.27,40.63
2026-06-18,30,0.380584,-0.069562,-0.144652,0.010852,63783.27,40.63
2026-06-18,60,0.382745,-0.064118,-0.134057,0.010431,63783.27,40.63
2026-06-18,90,0.386837,-0.059706,-0.131796,0.011938,63783.27,40.63
2026-06-18,180,0.411431,-0.048172,-0.116389,0.015287,63783.27,40.63
