asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,cftc_commodity_code,cftc_contract_market_code,cftc_market_code,cftc_region_code,cftc_subgroup_code,change_in_asset_mgr_long,change_in_asset_mgr_short,change_in_asset_mgr_spread,change_in_dealer_long_all,change_in_dealer_short_all,change_in_dealer_spread_all,change_in_lev_money_long,change_in_lev_money_short,change_in_lev_money_spread,change_in_nonrept_long_all,change_in_nonrept_short_all,change_in_open_interest_all,change_in_other_rept_long,change_in_other_rept_short,change_in_other_rept_spread,change_in_tot_rept_long_all,change_in_tot_rept_short,commodity,commodity_group_name,commodity_name,commodity_subgroup_name,conc_gross_le_4_tdr_long,conc_gross_le_4_tdr_short,conc_gross_le_8_tdr_long,conc_gross_le_8_tdr_short,conc_net_le_4_tdr_long_all,conc_net_le_4_tdr_short_all,conc_net_le_8_tdr_long_all,conc_net_le_8_tdr_short_all,contract_market_name,contract_units,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,futonly_or_combined,id,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,market_and_exchange_names,nonrept_positions_long_all,nonrept_positions_short_all,open_interest_all,other_rept_positions_long,other_rept_positions_short,other_rept_positions_spread,pct_of_oi_asset_mgr_long,pct_of_oi_asset_mgr_short,pct_of_oi_asset_mgr_spread,pct_of_oi_dealer_long_all,pct_of_oi_dealer_short_all,pct_of_oi_dealer_spread_all,pct_of_oi_lev_money_long,pct_of_oi_lev_money_short,pct_of_oi_lev_money_spread,pct_of_oi_nonrept_long_all,pct_of_oi_nonrept_short_all,pct_of_oi_other_rept_long,pct_of_oi_other_rept_short,pct_of_oi_other_rept_spread,pct_of_oi_tot_rept_long_all,pct_of_oi_tot_rept_short,pct_of_open_interest_all,report_date_as_yyyy_mm_dd,tot_rept_positions_long_all,tot_rept_positions_short,traders_asset_mgr_long_all,traders_asset_mgr_short_all,traders_asset_mgr_spread,traders_dealer_long_all,traders_dealer_short_all,traders_dealer_spread_all,traders_lev_money_long_all,traders_lev_money_short_all,traders_lev_money_spread,traders_other_rept_long_all,traders_other_rept_short,traders_other_rept_spread,traders_tot_all,traders_tot_rept_long_all,traders_tot_rept_short_all,yyyy_report_week_ww
1319458,950445,463343,043,043602,CBT,CHI,F30,36561,28710,-12071,-24129,6947,-7259,27390,-35907,-33491,-2250,22860,-34289,-16229,-1267,-2811,-32039,-57149,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,25.4,13.2,36.6,20.8,21.8,10.7,30.6,16.0,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",135172,124250,39649,FutOnly,180102043602F,490538,840816,135431,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,325028,541398,3255430,323675,136962,23136,40.5,29.2,14.2,4.2,3.8,1.2,15.1,25.8,4.2,10.0,16.6,9.9,4.2,0.7,90.0,83.4,100.0,2018-01-02T00:00:00.000,2930402,2714032,59,95,80,21,32,12,41,94,48,25,18,9,385,236,298,2018 Report Week 01
571973,361043,221092,042,042601,CBT,CHI,F30,-3,-5609,7096,20343,-20209,1151,-1862,32314,-21598,6036,767,14540,3022,20273,355,8504,13773,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,20.2,29.3,32.4,40.5,19.2,27.1,29.8,36.9,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",96293,165672,11659,FutOnly,180102042601F,508552,525196,64067,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,124038,163599,1800461,200153,285499,2634,31.8,20.1,12.3,5.3,9.2,0.6,28.2,29.2,3.6,6.9,9.1,11.1,15.9,0.1,93.1,90.9,100.0,2018-01-02T00:00:00.000,1676423,1636862,70,40,55,20,24,11,54,58,30,22,21,5,309,203,207,2018 Report Week 01
1587828,734283,294751,138,13874A,CME,CHI,F20,48549,-12399,-4251,-12260,56441,6651,-71788,-68393,16260,6360,-5638,-10215,173,1023,91,-16575,-4577,,,S&P BROAD BASED STOCK INDICES,,16.9,14.8,26.7,24.2,15.7,14.0,24.0,23.0,E-MINI S&P 500,($50 X S&P 500 INDEX),208927,881416,70956,FutOnly,18010213874AF,348963,501994,88123,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,306665,272854,3051095,119379,181215,25503,52.0,24.1,9.7,6.8,28.9,2.3,11.4,16.5,2.9,10.1,8.9,3.9,5.9,0.8,89.9,91.1,100.0,2018-01-02T00:00:00.000,2744430,2778241,142,90,99,28,49,26,79,112,60,46,37,13,583,386,395,2018 Report Week 01
1381165,947146,484501,043,043602,CBT,CHI,F30,61707,-3299,21158,43812,-6904,12534,-114933,-19147,60907,-8959,15576,105855,26252,21653,3377,114814,90279,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,26.0,12.0,36.7,19.7,22.4,9.3,30.5,14.6,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",178984,117346,52183,FutOnly,180109043602F,375605,821669,196338,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,316069,556974,3361285,349927,158615,26513,41.1,28.2,14.4,5.3,3.5,1.6,11.2,24.4,5.8,9.4,16.6,10.4,4.7,0.8,90.6,83.4,100.0,2018-01-09T00:00:00.000,3045216,2804311,59,99,81,27,30,13,45,101,56,23,20,9,404,255,308,2018 Report Week 02
609147,358133,220800,042,042601,CBT,CHI,F30,37174,-2910,-292,25782,14212,-2110,-4277,35394,-6068,-8993,8557,51445,10616,5049,-387,60438,42888,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,19.4,28.5,31.5,39.3,18.1,26.1,28.6,36.2,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",122075,179884,9549,FutOnly,180109042601F,504275,560590,57999,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,115045,172156,1851906,210769,290548,2247,32.9,19.3,11.9,6.6,9.7,0.5,27.2,30.3,3.1,6.2,9.3,11.4,15.7,0.1,93.8,90.7,100.0,2018-01-09T00:00:00.000,1736861,1679750,72,41,55,20,28,10,51,63,32,26,20,5,321,206,217,2018 Report Week 02
1722242,734827,298801,138,13874A,CME,CHI,F20,134414,544,4050,6675,48486,9752,8722,111908,11612,11112,-4882,190246,2827,7694,1082,179134,195128,,,S&P BROAD BASED STOCK INDICES,,18.9,15.7,28.4,24.7,17.9,14.5,25.7,23.1,E-MINI S&P 500,($50 X S&P 500 INDEX),215602,929902,80708,FutOnly,18010913874AF,357685,613902,99735,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,317777,267972,3241341,122206,188909,26585,53.1,22.7,9.2,6.7,28.7,2.5,11.0,18.9,3.1,9.8,8.3,3.8,5.8,0.8,90.2,91.7,100.0,2018-01-09T00:00:00.000,2923564,2973369,149,91,101,28,52,24,84,122,70,49,51,15,626,403,433,2018 Report Week 02
1374256,1022816,496082,043,043602,CBT,CHI,F30,-6909,75670,11581,-46623,56032,-14210,92194,-93208,-32440,12195,5947,12484,-3791,2625,487,289,6537,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,25.4,11.0,35.7,18.8,22.0,8.2,29.7,13.7,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",132361,173378,37973,FutOnly,180116043602F,467799,728461,163898,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,328264,562921,3373769,346136,161240,27000,40.7,30.3,14.7,3.9,5.1,1.1,13.9,21.6,4.9,9.7,16.7,10.3,4.8,0.8,90.3,83.3,100.0,2018-01-16T00:00:00.000,3045505,2810848,65,105,84,22,36,14,58,94,58,20,23,10,423,269,320,2018 Report Week 03
624465,359761,232341,042,042601,CBT,CHI,F30,15318,1628,11541,3078,-12626,-301,3235,18987,5,7458,5411,24475,-15649,40,-210,17017,19064,"T-NOTES, 1-2 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 1-2 YEAR",Interest Rates - U.S. Treasury,19.5,28.1,30.4,38.3,17.6,25.2,27.7,35.1,UST 2Y NOTE,"(CONTRACTS OF $200,000 FACE VALUE)",125153,167258,9248,FutOnly,180116042601F,507510,579577,58004,2-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,122503,177567,1876381,195120,290588,2037,33.3,19.2,12.4,6.7,8.9,0.5,27.0,30.9,3.1,6.5,9.5,10.4,15.5,0.1,93.5,90.5,100.0,2018-01-16T00:00:00.000,1753878,1698814,70,45,56,18,28,9,56,56,35,23,22,5,318,206,217,2018 Report Week 03
1736878,740830,298342,138,13874A,CME,CHI,F20,14636,6003,-459,-8352,40629,11757,68507,-3219,6453,-11820,1170,81086,-7957,10431,8321,92906,79916,,,S&P BROAD BASED STOCK INDICES,,18.3,15.1,27.4,25.1,17.4,13.9,24.9,23.2,E-MINI S&P 500,($50 X S&P 500 INDEX),207250,970531,92465,FutOnly,18011613874AF,426192,610683,106188,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,305957,269142,3322427,114249,199340,34906,52.3,22.3,9.0,6.2,29.2,2.8,12.8,18.4,3.2,9.2,8.1,3.4,6.0,1.1,90.8,91.9,100.0,2018-01-16T00:00:00.000,3016470,3053285,153,90,100,28,47,25,93,114,73,49,48,17,622,418,419,2018 Report Week 03
1441851,1030111,497488,043,043602,CBT,CHI,F30,67595,7295,1406,19046,39139,-7465,70269,25455,13292,-17655,27292,138357,-10099,29975,1968,156012,111065,"T-NOTES, 6.5-10 YEAR",FINANCIAL INSTRUMENTS,"T-NOTES, 6.5-10 YEAR",Interest Rates - U.S. Treasury,24.8,10.9,35.7,19.0,21.4,8.2,29.9,14.1,UST 10Y NOTE,"(CONTRACTS OF $100,000 FACE VALUE)",151407,212517,30508,FutOnly,180123043602F,538068,753916,177190,10-YEAR U.S. TREASURY NOTES - CHICAGO BOARD OF TRADE,310609,590213,3512126,336037,191215,28968,41.1,29.3,14.2,4.3,6.1,0.9,15.3,21.5,5.0,8.8,16.8,9.6,5.4,0.8,91.2,83.2,100.0,2018-01-23T00:00:00.000,3201517,2921913,72,107,95,26,41,15,57,92,57,26,23,12,444,288,335,2018 Report Week 04
